Provinces/city,Population density,Average population,Sex ratio,Population grow ratio,15+ labor,Region,Year
Hoa Binh,175.8,810.3,97.7,0.64,552,Midlands and northern mountains,2013
Thanh Hoa,312.4,3477.7,97.2,0.57,2224.2,North Central and Central Coast,2013
Nghe An,182.6,3011.3,98,0.94,1920.4,North Central and Central Coast,2013
Ha Tinh,208.3,1249.1,97,0.48,700.9,North Central and Central Coast,2013
Quang Binh,107.1,863.4,100.2,0.59,516.5,North Central and Central Coast,2013
Quang Tri,129.3,613,97.3,0.8,346.2,North Central and Central Coast,2013
Thua Thien Hue,223.1,1122.7,97.6,0.79,636.6,North Central and Central Coast,2013
Da Nang,767.7,986.8,97.3,2.12,527.6,North Central and Central Coast,2013
Quang Nam,140.2,1463.2,95.7,0.71,858.2,North Central and Central Coast,2013
Quang Ngai,240,1236.3,97.4,0.52,726.2,North Central and Central Coast,2013
Binh Dinh,249.4,1509.3,95.1,0.46,920.1,North Central and Central Coast,2013
Phu Yen,174.3,882,100.2,0.67,545.4,North Central and Central Coast,2013
Khanh Hoa,227.8,1188.4,97.9,0.7,677,North Central and Central Coast,2013
Ninh Thuan,174.2,584.9,101.9,0.94,325.1,North Central and Central Coast,2013
Binh Thuan,153.5,1199.5,100.9,0.66,697,North Central and Central Coast,2013
Kon Tum,48.8,473.3,113.8,2.28,278.9,Highlands,2013
Gia Lai,87.5,1359.1,105.5,1.39,821.5,Highlands,2013
Dak Lak,138.1,1812.8,101.3,1.19,1077.6,Highlands,2013
Dak Nong,85.2,555.1,109.3,3.42,349.2,Highlands,2013
Lam Dong,127.4,1245.4,99.6,1.09,722.2,Highlands,2013
Binh Phuoc,134,920.7,101.9,1.3,562.2,South East,2013
Tay Ninh,272,1096.9,96.9,0.66,647.9,South East,2013
Binh Duong,669,1802.5,93.3,4.13,1197.7,South East,2013
Dong Nai,469.4,2772.7,95.6,2.4,1580,South East,2013
Ba Ria - Vung Tau,526,1046.5,99.4,1.31,577.6,South East,2013
Ho Chi Minh,3731.6,7820,93.2,2.08,4122.3,South East,2013
Long An,327.2,1469.9,98.7,0.65,898.1,Mekong Delta,2013
Tien Giang,679,1703.4,96.3,0.65,1072.3,Mekong Delta,2013
Ben Tre,534.3,1260.6,96,0.13,775.8,Mekong Delta,2013
Tra Vinh,437.3,1023.9,96.6,0.54,607.9,Mekong Delta,2013
Vinh Long,682.7,1037.8,96.8,0.32,625.2,Mekong Delta,2013
Dong Thap,496.7,1678.4,98.8,0.2,986,Mekong Delta,2013
An Giang,608.8,2153.3,98.6,0.1,1275.8,Mekong Delta,2013
Kien Giang,273.2,1734.3,100.7,0.61,990.8,Mekong Delta,2013
Can Tho,871.9,1228.5,98.7,0.83,698.6,Mekong Delta,2013
Hau Giang,478.2,766.2,101.4,0.31,462.3,Mekong Delta,2013
Soc Trang,394,1304.7,98.3,0.24,729.3,Mekong Delta,2013
Bac Lieu,353.9,873.6,98.5,0.5,504.5,Mekong Delta,2013
Ca Mau,229.3,1214.2,100.7,0.18,696.2,Mekong Delta,2013
Ha Noi,2134,7095.9,95,1.7,3832.4,Hong river Delta,2014
Vinh Phuc,842,1041.9,96.8,1.22,631.2,Hong river Delta,2014
Bac Ninh,1375,1131.2,96.7,2.08,658.2,Hong river Delta,2014
Quang Ninh,197,1199.4,100.5,1.01,697.2,Hong river Delta,2014
Hai Duong,1065,1763.2,95.8,0.65,1049.5,Hong river Delta,2014
Hai Phong,1274,1946,98.7,1.08,1127.7,Hong river Delta,2014
Hung Yen,1251,1158.1,97.3,0.56,705,Hong river Delta,2014
Thai Binh,1139,1788.7,93.7,0.03,1115.3,Hong river Delta,2014
Ha Nam,927,799.4,97.3,0.43,472.4,Hong river Delta,2014
Nam Dinh,1116,1845.6,96.1,0.31,1157.8,Hong river Delta,2014
Ninh Binh,679,935.8,96.2,0.93,585.8,Hong river Delta,2014
Ha Giang,100,788.8,100.4,1.68,505.3,Midlands and northern mountains,2014
Cao Bang,78,520.2,98,0.43,357.3,Midlands and northern mountains,2014
Bac Kan,63,307.3,101,0.69,219.6,Midlands and northern mountains,2014
Tuyen Quang,128,753.8,98.7,0.88,485.1,Midlands and northern mountains,2014
Lao Cai,104,665.2,102.4,1.41,412.6,Midlands and northern mountains,2014
Yen Bai,114,783.5,99.5,1.16,503.5,Midlands and northern mountains,2014
Thai Nguyen,332,1173.2,97.2,1.49,715.9,Midlands and northern mountains,2014
Lang Son,91,753.7,100,0.53,505.1,Midlands and northern mountains,2014
Bac Giang,422,1624.5,98.7,1.03,1022.6,Midlands and northern mountains,2014
Phu Tho,385,1360.2,97.3,0.67,839.6,Midlands and northern mountains,2014
Dien Bien,56,538.1,100.2,1.82,345.4,Midlands and northern mountains,2014
Lai Chau,46,415.3,101.1,2.38,251.1,Midlands and northern mountains,2014
Son La,82,1166.4,101.5,1.38,734.7,Midlands and northern mountains,2014
Hoa Binh,177,817.4,98.5,0.86,550.7,Midlands and northern mountains,2014
Thanh Hoa,314,3496.1,97.9,0.53,2231.8,North Central and Central Coast,2014
Nghe An,184,3037.4,98.7,0.87,1953.1,North Central and Central Coast,2014
Ha Tinh,209,1255.3,96.5,0.49,727.8,North Central and Central Coast,2014
Quang Binh,108,868.2,100.2,0.56,528.9,North Central and Central Coast,2014
Quang Tri,130,616.4,97.1,0.55,348.6,North Central and Central Coast,2014
Thua Thien Hue,225,1131.8,98.1,0.8,662.6,North Central and Central Coast,2014
Da Nang,784,1007.7,96.6,2.11,541.2,North Central and Central Coast,2014
Quang Nam,141,1471.8,95.7,0.59,890.3,North Central and Central Coast,2014
Quang Ngai,241,1241.4,97.1,0.42,753.8,North Central and Central Coast,2014
Binh Dinh,250,1514.5,95.5,0.34,931.4,North Central and Central Coast,2014
Phu Yen,175,887.4,100.1,0.61,538.8,North Central and Central Coast,2014
Khanh Hoa,229,1196.9,97.6,0.71,691,North Central and Central Coast,2014
Ninh Thuan,176,590.4,101.8,0.94,333.9,North Central and Central Coast,2014
Binh Thuan,155,1207.4,100.2,0.66,705.4,North Central and Central Coast,2014
Kon Tum,50,484.2,113.9,2.32,288.4,Highlands,2014
Gia Lai,89,1377.8,99.3,1.37,833.3,Highlands,2014
Dak Lak,140,1833.3,101.3,1.13,1092.7,Highlands,2014
Dak Nong,88,571.3,102.3,2.91,353.5,Highlands,2014
Lam Dong,129,1259.3,100.3,1.11,748.9,Highlands,2014
Binh Phuoc,136,932.5,99.1,1.29,564.2,South East,2014
Tay Ninh,274,1104.2,97.9,0.67,636.7,South East,2014
Binh Duong,695,1873.6,93.3,3.94,1268.7,South East,2014
Dong Nai,481,2838.6,95,2.38,1627.5,South East,2014
Ba Ria - Vung Tau,533,1059.5,99.7,1.24,537.4,South East,2014
Ho Chi Minh,3809,7981.9,92.2,2.07,4188.5,South East,2014
Long An,329,1477.3,98.7,0.51,890.9,Mekong Delta,2014
Tien Giang,684,1716.1,96.3,0.75,1050.8,Mekong Delta,2014
Ben Tre,535,1262.2,96.2,0.13,808.6,Mekong Delta,2014
Tra Vinh,440,1029.3,96.3,0.53,609.7,Mekong Delta,2014
Vinh Long,685,1041.5,97,0.36,627.6,Mekong Delta,2014
Dong Thap,498,1681.3,99.8,0.17,1016.8,Mekong Delta,2014
An Giang,610,2155.8,98.1,0.11,1218.3,Mekong Delta,2014
Kien Giang,275,1745.5,100.4,0.64,1007.1,Mekong Delta,2014
Can Tho,879,1238.3,98.4,0.8,700,Mekong Delta,2014
Hau Giang,480,768.4,99.5,0.28,453.3,Mekong Delta,2014
Soc Trang,395,1307.7,100.3,0.24,699.6,Mekong Delta,2014
Bac Lieu,356,877.9,101.3,0.48,505.8,Mekong Delta,2014
Ca Mau,230,1216.4,100.6,0.18,700.1,Mekong Delta,2014
Ha Noi,2171,7216,95.6,1.51,3820.9,Hong river Delta,2015
Vinh Phuc,852,1054.5,96.8,1.21,631.4,Hong river Delta,2015
Bac Ninh,1404,1154.7,96.8,2.07,661.7,Hong river Delta,2015
Quang Ninh,199,1211.3,100.5,0.99,692.4,Hong river Delta,2015
Hai Duong,1072,1774.5,95.9,0.64,1037.5,Hong river Delta,2015
Hai Phong,1285,1963.3,98.8,0.89,1128.1,Hong river Delta,2015
Hung Yen,1257,1164.4,97,0.52,702.4,Hong river Delta,2015
Thai Binh,1139,1789.2,93.6,0.02,1110.8,Hong river Delta,2015
Ha Nam,931,802.7,97.7,0.42,472.1,Hong river Delta,2015
Nam Dinh,1119,1850.6,96.2,0.27,1150.5,Hong river Delta,2015
Ninh Binh,686,944.4,99.5,0.92,584.5,Hong river Delta,2015
Ha Giang,101,802,101.4,1.64,512.1,Midlands and northern mountains,2015
Cao Bang,78,522.4,97.8,0.86,360.9,Midlands and northern mountains,2015
Bac Kan,64,313.1,98.9,1.89,223.5,Midlands and northern mountains,2015
Tuyen Quang,130,760.3,97.8,0.87,485.5,Midlands and northern mountains,2015
Lao Cai,106,674.5,102.2,1.41,422.5,Midlands and northern mountains,2015
Yen Bai,115,792.7,99.8,1.22,512.5,Midlands and northern mountains,2015
Thai Nguyen,337,1190.6,96.6,3.59,725.5,Midlands and northern mountains,2015
Lang Son,91,757.9,100.3,0.92,508.5,Midlands and northern mountains,2015
Bac Giang,426,1640.9,98.7,1.01,1036.1,Midlands and northern mountains,2015
Phu Tho,388,1369.7,97.3,0.76,822.7,Midlands and northern mountains,2015
Dien Bien,57,547.8,100,1.81,353.2,Midlands and northern mountains,2015
Lai Chau,47,425.1,99.2,2.2,255.9,Midlands and northern mountains,2015
Son La,83,1182.4,101.2,1.8,753.1,Midlands and northern mountains,2015
Hoa Binh,179,824.3,98.5,0.85,555,Midlands and northern mountains,2015
Thanh Hoa,316,3514.2,98.6,0.46,2238.3,North Central and Central Coast,2015
Nghe An,186,3063.9,99.3,1.4,1892,North Central and Central Coast,2015
Ha Tinh,210,1261.3,96.5,0.48,745.3,North Central and Central Coast,2015
Quang Binh,108,872.9,100.2,0.55,520.4,North Central and Central Coast,2015
Quang Tri,131,619.9,97.2,0.58,349.7,North Central and Central Coast,2015
Thua Thien Hue,227,1140.7,98.4,0.88,636.2,North Central and Central Coast,2015
Da Nang,800,1028.8,96.6,1.9,547,North Central and Central Coast,2015
Quang Nam,142,1480.3,95.7,0.54,890.2,North Central and Central Coast,2015
Quang Ngai,242,1246.4,96.8,0.41,760.9,North Central and Central Coast,2015
Binh Dinh,251,1519.7,95.5,0.38,912.9,North Central and Central Coast,2015
Phu Yen,177,893.4,100.1,0.68,538.6,North Central and Central Coast,2015
Khanh Hoa,231,1205.3,97.2,0.7,690.5,North Central and Central Coast,2015
Ninh Thuan,177,595.9,101.8,0.93,343.1,North Central and Central Coast,2015
Binh Thuan,156,1215.2,100.2,0.63,710,North Central and Central Coast,2015
Kon Tum,51,495.9,114,2.41,293.2,Highlands,2015
Gia Lai,90,1397.4,93.6,1.42,842.4,Highlands,2015
Dak Lak,141,1853.7,101.3,1.12,1128.1,Highlands,2015
Dak Nong,90,587.8,102.3,2.9,374,Highlands,2015
Lam Dong,130,1273.1,101,1.1,778.1,Highlands,2015
Binh Phuoc,137,944.4,96.5,1.27,573,South East,2015
Tay Ninh,276,1111.5,99,0.66,643.9,South East,2015
Binh Duong,723,1947.2,93.3,3.04,1270.8,South East,2015
Dong Nai,492,2905.8,94.5,2.08,1630.3,South East,2015
Ba Ria - Vung Tau,539,1072.6,99.9,1.84,570,South East,2015
Ho Chi Minh,3888,8146.3,91.8,1.83,4251.4,South East,2015
Long An,330,1484.7,98.7,0.45,893.4,Mekong Delta,2015
Tien Giang,689,1728.7,96.3,0.7,1080.9,Mekong Delta,2015
Ben Tre,536,1263.7,96.4,0.12,809.4,Mekong Delta,2015
Tra Vinh,442,1034.6,95.9,0.52,611.1,Mekong Delta,2015
Vinh Long,687,1045,97.1,0.34,627.6,Mekong Delta,2015
Dong Thap,498,1684.3,99.2,0.17,1017.5,Mekong Delta,2015
An Giang,610,2158.3,98.1,0.12,1218.9,Mekong Delta,2015
Kien Giang,277,1761,100.4,0.89,1005.1,Mekong Delta,2015
Can Tho,886,1248,99.1,0.79,693.1,Mekong Delta,2015
Hau Giang,481,770.4,97.7,0.27,462.9,Mekong Delta,2015
Soc Trang,396,1310.7,98.4,0.23,704.1,Mekong Delta,2015
Bac Lieu,357,882,101.3,0.47,506.5,Mekong Delta,2015
Ca Mau,230,1218.9,100.6,0.21,704.1,Mekong Delta,2015
Ha Noi,2182,7328.4,96.2,1.5,3822.5,Hong river Delta,2016
Vinh Phuc,863,1066,96.8,1.09,629.8,Hong river Delta,2016
Bac Ninh,1432,1178.6,96.8,2.07,666.9,Hong river Delta,2016
Quang Ninh,198,1224.6,100.5,1.3,691.9,Hong river Delta,2016
Hai Duong,1070,1785.8,96,0.64,1035.2,Hong river Delta,2016
Hai Phong,1268,1980.8,98.9,0.89,1131.6,Hong river Delta,2016
Hung Yen,1258,1170.2,96.6,0.52,704.4,Hong river Delta,2016
Thai Binh,1128,1790,93.6,0.04,1104.7,Hong river Delta,2016
Ha Nam,932,803.7,97.8,0.13,473.4,Hong river Delta,2016
Nam Dinh,1110,1852.6,96.1,0.11,1148,Hong river Delta,2016
Ninh Binh,687,953.1,99.6,0.92,585.4,Hong river Delta,2016
Ha Giang,103,816.1,101.4,2.32,524.8,Midlands and northern mountains,2016
Cao Bang,79,529.8,98.2,1.05,360.9,Midlands and northern mountains,2016
Bac Kan,66,319,96.9,1.88,228.8,Midlands and northern mountains,2016
Tuyen Quang,131,766.9,96.8,0.86,482.9,Midlands and northern mountains,2016
Lao Cai,108,684.3,102.1,1.45,432.8,Midlands and northern mountains,2016
Yen Bai,116,800.1,99.9,0.91,519.4,Midlands and northern mountains,2016
Thai Nguyen,348,1227.4,96.6,2.34,729.9,Midlands and northern mountains,2016
Lang Son,92,768.7,100.5,1.06,507.9,Midlands and northern mountains,2016
Bac Giang,426,1657.6,98.7,1.02,1034.5,Midlands and northern mountains,2016
Phu Tho,391,1381.7,97.3,0.81,819.7,Midlands and northern mountains,2016
Dien Bien,58,557.4,100,1.75,348.4,Midlands and northern mountains,2016
Lai Chau,48,436,97.5,2.48,268.8,Midlands and northern mountains,2016
Son La,86,1208,101,1.76,750.8,Midlands and northern mountains,2016
Hoa Binh,181,831.3,99.7,0.86,553.2,Midlands and northern mountains,2016
Thanh Hoa,317,3528.3,99.3,0.46,2241.2,North Central and Central Coast,2016
Nghe An,188,3105.5,100,0.83,1878.8,North Central and Central Coast,2016
Ha Tinh,211,1266.7,96.6,0.43,718.4,North Central and Central Coast,2016
Quang Binh,110,877.7,100.2,0.55,531.1,North Central and Central Coast,2016
Quang Tri,135,623.5,96.4,0.59,348.9,North Central and Central Coast,2016
Thua Thien Hue,235,1149.8,98.8,0.72,631.7,North Central and Central Coast,2016
Da Nang,814,1046.2,97.1,1.8,556.1,North Central and Central Coast,2016
Quang Nam,141,1487.7,95.7,0.47,902,North Central and Central Coast,2016
Quang Ngai,243,1251.5,97.6,0.63,767.4,North Central and Central Coast,2016
Binh Dinh,251,1524.6,95.5,0.29,931.4,North Central and Central Coast,2016
Phu Yen,179,899.4,100,0.68,545.7,North Central and Central Coast,2016
Khanh Hoa,236,1213.8,96.9,0.7,689.6,North Central and Central Coast,2016
Ninh Thuan,179,601.4,101.8,0.92,347.7,North Central and Central Coast,2016
Binh Thuan,154,1222.7,100.2,0.63,716.3,North Central and Central Coast,2016
Kon Tum,52,507.8,114.1,2.4,300.9,Highlands,2016
Gia Lai,91,1417.3,98.3,1.42,856.6,Highlands,2016
Dak Lak,144,1874.5,101.3,1.12,1149.4,Highlands,2016
Dak Nong,93,605.4,106.9,3.51,381.3,Highlands,2016
Lam Dong,132,1288.2,101.6,1.01,793.8,Highlands,2016
Binh Phuoc,139,956.4,96.5,1.28,581.1,South East,2016
Tay Ninh,277,1118.8,100.1,0.66,651.4,South East,2016
Binh Duong,741,1995.8,93.4,3.39,1280.1,South East,2016
Dong Nai,505,2963.8,94.1,2.21,1634.7,South East,2016
